territorio,lente,nome_comune
082048,entrambe,Misilmeri
084011,istruzione,Canicattì
082021,istruzione,Carini
081006,istruzione,Castelvetrano
081012,istruzione,Mazara del Vallo
087029,istruzione,Misterbianco
082049,istruzione,Monreale
082054,istruzione,Partinico
087033,istruzione,Paternò
088012,istruzione,Vittoria
082005,strutturale,Altofonte
082020,strutturale,Capaci
081008,strutturale,Erice
084028,strutturale,Porto Empedocle
082067,strutturale,Santa Flavia
084041,strutturale,Sciacca
082070,strutturale,Termini Imerese
082071,strutturale,Terrasini
082073,strutturale,Trabia
